#step	time	iterations	error_displacements	error_residuals	error_energy	converged	elapsed_time
169	1.690000e-02	8.000000e+00	9.092970e-05	5.447313e-06	2.786496e-05	1.000000e+00	2.190957e+02
170	1.700000e-02	8.000000e+00	9.294494e-05	5.577064e-06	2.860303e-05	1.000000e+00	2.213159e+02
171	1.710000e-02	8.000000e+00	9.459887e-05	5.698391e-06	2.927193e-05	1.000000e+00	2.235356e+02
172	1.720000e-02	8.000000e+00	9.708752e-05	5.905789e-06	3.029581e-05	1.000000e+00	2.257556e+02
173	1.730000e-02	9.000000e+00	6.591387e-05	4.047369e-06	2.036332e-05	1.000000e+00	2.282107e+02
174	1.740000e-02	9.000000e+00	6.680965e-05	4.107720e-06	2.072010e-05	1.000000e+00	2.306650e+02
175	1.750000e-02	9.000000e+00	7.023588e-05	4.352237e-06	2.188743e-05	1.000000e+00	2.331201e+02
176	1.760000e-02	9.000000e+00	7.187779e-05	4.442860e-06	2.242497e-05	1.000000e+00	2.355835e+02
177	1.770000e-02	9.000000e+00	7.489762e-05	4.622647e-06	2.332111e-05	1.000000e+00	2.380419e+02
178	1.780000e-02	9.000000e+00	7.589583e-05	4.736280e-06	2.388995e-05	1.000000e+00	2.405055e+02
179	1.790000e-02	9.000000e+00	7.759195e-05	4.878358e-06	2.458102e-05	1.000000e+00	2.429694e+02
180	1.800000e-02	9.000000e+00	7.898815e-05	5.035122e-06	2.536469e-05	1.000000e+00	2.454308e+02
181	1.810000e-02	9.000000e+00	8.025523e-05	5.167226e-06	2.601609e-05	1.000000e+00	2.478979e+02
182	1.820000e-02	9.000000e+00	8.180366e-05	5.323458e-06	2.676072e-05	1.000000e+00	2.503615e+02
183	1.830000e-02	9.000000e+00	8.322009e-05	5.449425e-06	2.738261e-05	1.000000e+00	2.528264e+02
184	1.840000e-02	9.000000e+00	8.523623e-05	5.639132e-06	2.821781e-05	1.000000e+00	2.553005e+02
185	1.850000e-02	9.000000e+00	8.681089e-05	5.766389e-06	2.884666e-05	1.000000e+00	2.577680e+02
186	1.860000e-02	9.000000e+00	9.021224e-05	5.884260e-06	2.950724e-05	1.000000e+00	2.602418e+02
187	1.870000e-02	9.000000e+00	9.140502e-05	5.982813e-06	3.006037e-05	1.000000e+00	2.627128e+02
188	1.880000e-02	9.000000e+00	9.261272e-05	6.098493e-06	3.065976e-05	1.000000e+00	2.651849e+02
189	1.890000e-02	9.000000e+00	9.357735e-05	6.216253e-06	3.124052e-05	1.000000e+00	2.676632e+02
190	1.900000e-02	9.000000e+00	9.498748e-05	6.371457e-06	3.201628e-05	1.000000e+00	2.701342e+02
191	1.910000e-02	9.000000e+00	9.604490e-05	6.484831e-06	3.260966e-05	1.000000e+00	2.726170e+02
192	1.920000e-02	9.000000e+00	9.792618e-05	6.621434e-06	3.330796e-05	1.000000e+00	2.750970e+02
193	1.930000e-02	9.000000e+00	9.876626e-05	6.727263e-06	3.386773e-05	1.000000e+00	2.775782e+02
194	1.940000e-02	9.000000e+00	9.991850e-05	6.861414e-06	3.453904e-05	1.000000e+00	2.800626e+02
195	1.950000e-02	1.000000e+01	7.147621e-05	4.894640e-06	2.435989e-05	1.000000e+00	2.827802e+02
196	1.960000e-02	1.000000e+01	7.086029e-05	4.892153e-06	2.441795e-05	1.000000e+00	2.854923e+02
197	1.970000e-02	1.000000e+01	7.386316e-05	5.040890e-06	2.518797e-05	1.000000e+00	2.882124e+02
198	1.980000e-02	1.000000e+01	7.475258e-05	5.128102e-06	2.566656e-05	1.000000e+00	2.909280e+02
199	1.990000e-02	1.000000e+01	7.564640e-05	5.222292e-06	2.613096e-05	1.000000e+00	2.936513e+02
200	2.000000e-02	1.000000e+01	7.654046e-05	5.333179e-06	2.670851e-05	1.000000e+00	2.963741e+02
201	2.010000e-02	1.000000e+01	7.702627e-05	5.422212e-06	2.715974e-05	1.000000e+00	2.991015e+02
202	2.020000e-02	1.000000e+01	7.818594e-05	5.535460e-06	2.766966e-05	1.000000e+00	3.018272e+02
203	2.030000e-02	1.000000e+01	7.900897e-05	5.598696e-06	2.804612e-05	1.000000e+00	3.045534e+02
204	2.040000e-02	1.000000e+01	8.001451e-05	5.670060e-06	2.848262e-05	1.000000e+00	3.072971e+02
205	2.050000e-02	1.000000e+01	8.053803e-05	5.762917e-06	2.897200e-05	1.000000e+00	3.100239e+02
206	2.060000e-02	1.000000e+01	8.156535e-05	5.880861e-06	2.952165e-05	1.000000e+00	3.127559e+02
207	2.070000e-02	1.000000e+01	8.263148e-05	5.993699e-06	3.012933e-05	1.000000e+00	3.154875e+02
208	2.080000e-02	1.000000e+01	8.438678e-05	6.132094e-06	3.079497e-05	1.000000e+00	3.182199e+02
209	2.090000e-02	1.000000e+01	8.490587e-05	6.220973e-06	3.125600e-05	1.000000e+00	3.209547e+02
210	2.100000e-02	1.000000e+01	8.658760e-05	6.334751e-06	3.180349e-05	1.000000e+00	3.236863e+02
211	2.110000e-02	1.000000e+01	8.790429e-05	6.421488e-06	3.227346e-05	1.000000e+00	3.264217e+02
212	2.120000e-02	1.000000e+01	8.889998e-05	6.550073e-06	3.289730e-05	1.000000e+00	3.291530e+02
213	2.130000e-02	1.000000e+01	8.975117e-05	6.652498e-06	3.341318e-05	1.000000e+00	3.318900e+02
214	2.140000e-02	1.000000e+01	9.020659e-05	6.747957e-06	3.391910e-05	1.000000e+00	3.346274e+02
215	2.150000e-02	1.000000e+01	9.086017e-05	6.806296e-06	3.429282e-05	1.000000e+00	3.373612e+02
216	2.160000e-02	1.000000e+01	9.178728e-05	6.944650e-06	3.495496e-05	1.000000e+00	3.400987e+02
217	2.170000e-02	1.000000e+01	9.352865e-05	7.069651e-06	3.561271e-05	1.000000e+00	3.428370e+02
218	2.180000e-02	1.000000e+01	9.482744e-05	7.197498e-06	3.628558e-05	1.000000e+00	3.455827e+02
219	2.190000e-02	1.000000e+01	9.556550e-05	7.320770e-06	3.690054e-05	1.000000e+00	3.483116e+02
