#step	time	u[m]	load[N]	reaction[N]	Wint[J]	Wext[J]	Wkin[J]
94	9.400000e-03	-4.200000e-05	-7.867013e+04	7.866997e+04	1.643958e+00	1.643978e+00	1.964204e-05
95	9.500000e-03	-4.250000e-05	-7.960447e+04	7.960462e+04	1.683422e+00	1.683443e+00	1.964283e-05
96	9.600000e-03	-4.300000e-05	-8.053886e+04	8.053878e+04	1.723354e+00	1.723375e+00	1.963471e-05
97	9.700000e-03	-4.350000e-05	-8.147280e+04	8.147276e+04	1.763754e+00	1.763774e+00	1.964836e-05
98	9.800000e-03	-4.400000e-05	-8.240641e+04	8.240655e+04	1.804620e+00	1.804640e+00	1.963638e-05
99	9.900000e-03	-4.450000e-05	-8.333995e+04	8.333976e+04	1.845952e+00	1.845973e+00	1.964450e-05
100	1.000000e-02	-4.500000e-05	-8.427279e+04	8.427298e+04	1.887752e+00	1.887772e+00	1.964331e-05
101	1.010000e-02	-4.550000e-05	-8.520565e+04	8.520552e+04	1.930018e+00	1.930038e+00	1.963855e-05
102	1.020000e-02	-4.600000e-05	-8.613789e+04	8.613796e+04	1.972750e+00	1.972771e+00	1.964494e-05
103	1.030000e-02	-4.650000e-05	-8.706989e+04	8.706988e+04	2.015949e+00	2.015969e+00	1.963960e-05
104	1.040000e-02	-4.700000e-05	-8.800154e+04	8.800152e+04	2.059613e+00	2.059633e+00	1.964392e-05
105	1.050000e-02	-4.750000e-05	-8.893256e+04	8.893258e+04	2.103743e+00	2.103763e+00	1.964452e-05
106	1.060000e-02	-4.800000e-05	-8.986331e+04	8.986334e+04	2.148338e+00	2.148359e+00	1.963757e-05
107	1.070000e-02	-4.850000e-05	-9.079362e+04	9.079354e+04	2.193399e+00	2.193420e+00	1.964484e-05
108	1.080000e-02	-4.900000e-05	-9.172331e+04	9.172342e+04	2.238925e+00	2.238946e+00	1.964085e-05
109	1.090000e-02	-4.950000e-05	-9.265267e+04	9.265259e+04	2.284916e+00	2.284936e+00	1.963843e-05
110	1.100000e-02	-5.000000e-05	-9.358129e+04	9.358131e+04	2.331371e+00	2.331392e+00	1.964646e-05
111	1.110000e-02	-5.050000e-05	-9.450940e+04	9.450947e+04	2.378291e+00	2.378311e+00	1.963726e-05
112	1.120000e-02	-5.100000e-05	-9.543705e+04	9.543692e+04	2.425674e+00	2.425695e+00	1.964660e-05
113	1.130000e-02	-5.150000e-05	-9.636384e+04	9.636401e+04	2.473521e+00	2.473542e+00	1.964038e-05
114	1.140000e-02	-5.200000e-05	-9.729030e+04	9.729013e+04	2.521832e+00	2.521853e+00	1.964319e-05
115	1.150000e-02	-5.250000e-05	-9.821578e+04	9.821594e+04	2.570605e+00	2.570626e+00	1.964405e-05
116	1.160000e-02	-5.300000e-05	-9.914082e+04	9.914072e+04	2.619842e+00	2.619863e+00	1.963769e-05
117	1.170000e-02	-5.350000e-05	-1.000649e+05	1.000650e+05	2.669540e+00	2.669561e+00	1.964897e-05
118	1.180000e-02	-5.400000e-05	-1.009881e+05	1.009881e+05	2.719701e+00	2.719722e+00	1.963987e-05
119	1.190000e-02	-5.450000e-05	-1.019109e+05	1.019108e+05	2.770323e+00	2.770344e+00	1.964872e-05
120	1.200000e-02	-5.500000e-05	-1.028325e+05	1.028326e+05	2.821407e+00	2.821428e+00	1.964327e-05
121	1.210000e-02	-5.550000e-05	-1.037537e+05	1.037536e+05	2.872951e+00	2.872972e+00	1.964902e-05
122	1.220000e-02	-5.600000e-05	-1.046737e+05	1.046739e+05	2.924955e+00	2.924977e+00	1.964902e-05
123	1.230000e-02	-5.650000e-05	-1.055933e+05	1.055932e+05	2.977420e+00	2.977441e+00	1.964523e-05
124	1.240000e-02	-5.700000e-05	-1.065116e+05	1.065117e+05	3.030344e+00	3.030365e+00	1.965130e-05
125	1.250000e-02	-5.750000e-05	-1.074293e+05	1.074293e+05	3.083727e+00	3.083749e+00	1.964321e-05
126	1.260000e-02	-5.800000e-05	-1.083461e+05	1.083460e+05	3.137569e+00	3.137591e+00	1.965114e-05
127	1.270000e-02	-5.850000e-05	-1.092619e+05	1.092620e+05	3.191869e+00	3.191891e+00	1.965370e-05
