#step	time	u[m]	load[N]	reaction[N]	Wint[J]	Wext[J]	Wkin[J]
166	9.960000e-03	-4.480000e-05	-8.485148e+04	8.485151e+04	1.901059e+00	1.901079e+00	1.968179e-05
167	1.002000e-02	-4.510000e-05	-8.541830e+04	8.541803e+04	1.926600e+00	1.926620e+00	1.970085e-05
168	1.008000e-02	-4.540000e-05	-8.598469e+04	8.598494e+04	1.952310e+00	1.952330e+00	1.969949e-05
169	1.014000e-02	-4.570000e-05	-8.655133e+04	8.655134e+04	1.978191e+00	1.978211e+00	1.968455e-05
170	1.020000e-02	-4.600000e-05	-8.711784e+04	8.711757e+04	2.004241e+00	2.004261e+00	1.970231e-05
171	1.026000e-02	-4.630000e-05	-8.768393e+04	8.768422e+04	2.030461e+00	2.030481e+00	1.970046e-05
172	1.032000e-02	-4.660000e-05	-8.825026e+04	8.825021e+04	2.056851e+00	2.056872e+00	1.968553e-05
173	1.038000e-02	-4.690000e-05	-8.881646e+04	8.881626e+04	2.083411e+00	2.083432e+00	1.970272e-05
174	1.044000e-02	-4.720000e-05	-8.938226e+04	8.938250e+04	2.110141e+00	2.110161e+00	1.970222e-05
175	1.050000e-02	-4.750000e-05	-8.994824e+04	8.994819e+04	2.137041e+00	2.137061e+00	1.968892e-05
176	1.056000e-02	-4.780000e-05	-9.051409e+04	9.051392e+04	2.164110e+00	2.164130e+00	1.970498e-05
177	1.062000e-02	-4.810000e-05	-9.107950e+04	9.107970e+04	2.191349e+00	2.191369e+00	1.970428e-05
178	1.068000e-02	-4.840000e-05	-9.164509e+04	9.164509e+04	2.218758e+00	2.218778e+00	1.968968e-05
179	1.074000e-02	-4.870000e-05	-9.221058e+04	9.221037e+04	2.246336e+00	2.246356e+00	1.970678e-05
180	1.080000e-02	-4.900000e-05	-9.277555e+04	9.277581e+04	2.274084e+00	2.274104e+00	1.970401e-05
181	1.086000e-02	-4.930000e-05	-9.334081e+04	9.334075e+04	2.302001e+00	2.302022e+00	1.969117e-05
182	1.092000e-02	-4.960000e-05	-9.390583e+04	9.390566e+04	2.330088e+00	2.330109e+00	1.971006e-05
183	1.098000e-02	-4.990000e-05	-9.447041e+04	9.447068e+04	2.358345e+00	2.358365e+00	1.970204e-05
184	1.104000e-02	-5.020000e-05	-9.503533e+04	9.503519e+04	2.386771e+00	2.386791e+00	1.969505e-05
185	1.110000e-02	-5.050000e-05	-9.559983e+04	9.559976e+04	2.415366e+00	2.415386e+00	1.971169e-05
186	1.116000e-02	-5.080000e-05	-9.616405e+04	9.616425e+04	2.444130e+00	2.444151e+00	1.970259e-05
187	1.122000e-02	-5.110000e-05	-9.672841e+04	9.672829e+04	2.473064e+00	2.473085e+00	1.969862e-05
188	1.128000e-02	-5.140000e-05	-9.729239e+04	9.729234e+04	2.502167e+00	2.502188e+00	1.971101e-05
189	1.134000e-02	-5.170000e-05	-9.785620e+04	9.785633e+04	2.531440e+00	2.531460e+00	1.970638e-05
190	1.140000e-02	-5.200000e-05	-9.841998e+04	9.841992e+04	2.560881e+00	2.560902e+00	1.970287e-05
191	1.146000e-02	-5.230000e-05	-9.898352e+04	9.898344e+04	2.590491e+00	2.590512e+00	1.971397e-05
192	1.152000e-02	-5.260000e-05	-9.954675e+04	9.954689e+04	2.620271e+00	2.620292e+00	1.971005e-05
193	1.158000e-02	-5.290000e-05	-1.001100e+05	1.001099e+05	2.650219e+00	2.650240e+00	1.970729e-05
194	1.164000e-02	-5.320000e-05	-1.006729e+05	1.006729e+05	2.680337e+00	2.680358e+00	1.971839e-05
195	1.170000e-02	-5.350000e-05	-1.012355e+05	1.012357e+05	2.710623e+00	2.710644e+00	1.971240e-05
196	1.176000e-02	-5.380000e-05	-1.017982e+05	1.017981e+05	2.741078e+00	2.741099e+00	1.971074e-05
197	1.182000e-02	-5.410000e-05	-1.023604e+05	1.023604e+05	2.771702e+00	2.771723e+00	1.972242e-05
198	1.188000e-02	-5.440000e-05	-1.029225e+05	1.029226e+05	2.802494e+00	2.802515e+00	1.971268e-05
199	1.194000e-02	-5.470000e-05	-1.034845e+05	1.034844e+05	2.833455e+00	2.833476e+00	1.971794e-05
200	1.200000e-02	-5.500000e-05	-1.040461e+05	1.040461e+05	2.864585e+00	2.864606e+00	1.972282e-05
201	1.206000e-02	-5.530000e-05	-1.046077e+05	1.046078e+05	2.895883e+00	2.895904e+00	1.971790e-05
202	1.212000e-02	-5.560000e-05	-1.051690e+05	1.051689e+05	2.927349e+00	2.927370e+00	1.972153e-05
203	1.218000e-02	-5.590000e-05	-1.057301e+05	1.057300e+05	2.958984e+00	2.959005e+00	1.972556e-05
204	1.224000e-02	-5.620000e-05	-1.062908e+05	1.062909e+05	2.990787e+00	2.990808e+00	1.972499e-05
205	1.230000e-02	-5.650000e-05	-1.068515e+05	1.068514e+05	3.022759e+00	3.022780e+00	1.972391e-05
206	1.236000e-02	-5.680000e-05	-1.074119e+05	1.074118e+05	3.054898e+00	3.054919e+00	1.973242e-05
207	1.242000e-02	-5.710000e-05	-1.079719e+05	1.079721e+05	3.087206e+00	3.087227e+00	1.972699e-05
208	1.248000e-02	-5.740000e-05	-1.085320e+05	1.085318e+05	3.119681e+00	3.119702e+00	1.972838e-05
209	1.254000e-02	-5.770000e-05	-1.090915e+05	1.090916e+05	3.152325e+00	3.152346e+00	1.973743e-05
210	1.260000e-02	-5.800000e-05	-1.096509e+05	1.096510e+05	3.185136e+00	3.185157e+00	1.972818e-05
211	1.266000e-02	-5.830000e-05	-1.102103e+05	1.102101e+05	3.218115e+00	3.218136e+00	1.973467e-05
212	1.272000e-02	-5.860000e-05	-1.107691e+05	1.107693e+05	3.251262e+00	3.251283e+00	1.973820e-05
213	1.278000e-02	-5.890000e-05	-1.113279e+05	1.113278e+05	3.284576e+00	3.284598e+00	1.973261e-05
214	1.284000e-02	-5.920000e-05	-1.118864e+05	1.118863e+05	3.318059e+00	3.318080e+00	1.974152e-05
215	1.290000e-02	-5.950000e-05	-1.124445e+05	1.124446e+05	3.351708e+00	3.351730e+00	1.974074e-05
216	1.296000e-02	-5.980000e-05	-1.130026e+05	1.130025e+05	3.385525e+00	3.385547e+00	1.973846e-05
217	1.302000e-02	-6.010000e-05	-1.135603e+05	1.135603e+05	3.419509e+00	3.419531e+00	1.974499e-05
218	1.308000e-02	-6.040000e-05	-1.141177e+05	1.141177e+05	3.453661e+00	3.453683e+00	1.974609e-05
219	1.314000e-02	-6.070000e-05	-1.146749e+05	1.146749e+05	3.487980e+00	3.488002e+00	1.974315e-05
220	1.320000e-02	-6.100000e-05	-1.152319e+05	1.152318e+05	3.522466e+00	3.522488e+00	1.975112e-05
221	1.326000e-02	-6.130000e-05	-1.157885e+05	1.157885e+05	3.557119e+00	3.557141e+00	1.975220e-05
222	1.332000e-02	-6.160000e-05	-1.163449e+05	1.163450e+05	3.591939e+00	3.591961e+00	1.974727e-05
223	1.338000e-02	-6.190000e-05	-1.169011e+05	1.169010e+05	3.626926e+00	3.626948e+00	1.975770e-05
224	1.344000e-02	-6.220000e-05	-1.174568e+05	1.174570e+05	3.662079e+00	3.662101e+00	1.975442e-05
225	1.350000e-02	-6.250000e-05	-1.180125e+05	1.180124e+05	3.697400e+00	3.697422e+00	1.975360e-05
226	1.356000e-02	-6.280000e-05	-1.185678e+05	1.185677e+05	3.732887e+00	3.732909e+00	1.976532e-05
227	1.362000e-02	-6.310000e-05	-1.191227e+05	1.191229e+05	3.768540e+00	3.768562e+00	1.975976e-05
228	1.368000e-02	-6.340000e-05	-1.196777e+05	1.196775e+05	3.804360e+00	3.804382e+00	1.976141e-05
229	1.374000e-02	-6.370000e-05	-1.202321e+05	1.202321e+05	3.840346e+00	3.840369e+00	1.977068e-05
230	1.380000e-02	-6.400000e-05	-1.207863e+05	1.207864e+05	3.876499e+00	3.876522e+00	1.976525e-05
