#step	time	iterations	error_displacements	error_residuals	error_energy	converged	elapsed_time[s]
142	2.840000e-03	1.000000e+00	0.000000e+00	1.078437e-15	3.998105e-09	1.000000e+00	9.469885e+01
143	2.860000e-03	1.000000e+00	0.000000e+00	1.087809e-15	4.678560e-09	1.000000e+00	9.532321e+01
144	2.880000e-03	1.000000e+00	0.000000e+00	1.054118e-15	4.728317e-09	1.000000e+00	9.594615e+01
145	2.900000e-03	1.000000e+00	0.000000e+00	1.103660e-15	4.230198e-09	1.000000e+00	9.656921e+01
146	2.920000e-03	1.000000e+00	0.000000e+00	1.066134e-15	3.947509e-09	1.000000e+00	9.719275e+01
147	2.940000e-03	1.000000e+00	0.000000e+00	1.090026e-15	4.465045e-09	1.000000e+00	9.781688e+01
148	2.960000e-03	1.000000e+00	0.000000e+00	1.065567e-15	4.218427e-09	1.000000e+00	9.843852e+01
149	2.980000e-03	1.000000e+00	0.000000e+00	1.066044e-15	4.130629e-09	1.000000e+00	9.906083e+01
150	3.000000e-03	1.000000e+00	0.000000e+00	1.059083e-15	4.491266e-09	1.000000e+00	9.968580e+01
151	3.020000e-03	1.000000e+00	0.000000e+00	1.095877e-15	4.471384e-09	1.000000e+00	1.003101e+02
152	3.040000e-03	1.000000e+00	0.000000e+00	1.080792e-15	3.835056e-09	1.000000e+00	1.009342e+02
153	3.060000e-03	1.000000e+00	0.000000e+00	1.075647e-15	4.699915e-09	1.000000e+00	1.015575e+02
154	3.080000e-03	1.000000e+00	0.000000e+00	1.023150e-15	4.286845e-09	1.000000e+00	1.021826e+02
155	3.100000e-03	1.000000e+00	0.000000e+00	1.111675e-15	3.375621e-09	1.000000e+00	1.028115e+02
156	3.120000e-03	1.000000e+00	0.000000e+00	1.043284e-15	3.890523e-09	1.000000e+00	1.034354e+02
157	3.140000e-03	1.000000e+00	0.000000e+00	1.062936e-15	2.804826e-09	1.000000e+00	1.040606e+02
158	3.160000e-03	1.000000e+00	0.000000e+00	1.091087e-15	3.141462e-09	1.000000e+00	1.046875e+02
159	3.180000e-03	1.000000e+00	0.000000e+00	1.088632e-15	3.938385e-09	1.000000e+00	1.053134e+02
160	3.200000e-03	1.000000e+00	0.000000e+00	1.079807e-15	3.119628e-09	1.000000e+00	1.059373e+02
161	3.220000e-03	1.000000e+00	0.000000e+00	1.072872e-15	3.314922e-09	1.000000e+00	1.065628e+02
162	3.240000e-03	1.000000e+00	0.000000e+00	1.092448e-15	2.209082e-09	1.000000e+00	1.071890e+02
163	3.260000e-03	1.000000e+00	0.000000e+00	1.077714e-15	3.861697e-09	1.000000e+00	1.078149e+02
164	3.280000e-03	1.000000e+00	0.000000e+00	1.067240e-15	2.534864e-09	1.000000e+00	1.084403e+02
165	3.300000e-03	1.000000e+00	0.000000e+00	1.105143e-15	7.827375e-11	1.000000e+00	1.090671e+02
166	3.320000e-03	1.000000e+00	0.000000e+00	1.082779e-15	2.407824e-09	1.000000e+00	1.096954e+02
167	3.340000e-03	1.000000e+00	0.000000e+00	1.095568e-15	1.535970e-09	1.000000e+00	1.103235e+02
168	3.360000e-03	1.000000e+00	0.000000e+00	1.075323e-15	6.939366e-10	1.000000e+00	1.109515e+02
169	3.380000e-03	1.000000e+00	0.000000e+00	1.093963e-15	3.893003e-09	1.000000e+00	1.115808e+02
170	3.400000e-03	1.000000e+00	0.000000e+00	1.045280e-15	1.982616e-09	1.000000e+00	1.122085e+02
