#step	time	iterations	error_displacements	error_residuals	error_energy	converged	elapsed_time[s]
126	5.040000e-03	1.000000e+00	0.000000e+00	1.057616e-15	4.347629e-09	1.000000e+00	7.790572e+01
127	5.080000e-03	1.000000e+00	0.000000e+00	1.038654e-15	2.388026e-09	1.000000e+00	7.850998e+01
128	5.120000e-03	1.000000e+00	0.000000e+00	1.075368e-15	3.093448e-09	1.000000e+00	7.911760e+01
129	5.160000e-03	1.000000e+00	0.000000e+00	1.083592e-15	3.272191e-09	1.000000e+00	7.971771e+01
130	5.200000e-03	1.000000e+00	0.000000e+00	1.054305e-15	3.609983e-09	1.000000e+00	8.033140e+01
131	5.240000e-03	1.000000e+00	0.000000e+00	1.058216e-15	2.990577e-09	1.000000e+00	8.094308e+01
132	5.280000e-03	1.000000e+00	0.000000e+00	1.040615e-15	4.116993e-09	1.000000e+00	8.155708e+01
133	5.320000e-03	1.000000e+00	0.000000e+00	1.071070e-15	3.494460e-09	1.000000e+00	8.216921e+01
134	5.360000e-03	1.000000e+00	0.000000e+00	1.022494e-15	3.402346e-09	1.000000e+00	8.278443e+01
135	5.400000e-03	1.000000e+00	0.000000e+00	1.017705e-15	3.840785e-09	1.000000e+00	8.338710e+01
136	5.440000e-03	1.000000e+00	0.000000e+00	1.056690e-15	2.981525e-09	1.000000e+00	8.399517e+01
137	5.480000e-03	1.000000e+00	0.000000e+00	1.088243e-15	2.731598e-09	1.000000e+00	8.460929e+01
138	5.520000e-03	1.000000e+00	0.000000e+00	1.062046e-15	3.311068e-09	1.000000e+00	8.523898e+01
139	5.560000e-03	1.000000e+00	0.000000e+00	1.083841e-15	2.110029e-09	1.000000e+00	8.585676e+01
140	5.600000e-03	1.000000e+00	0.000000e+00	1.106385e-15	2.211844e-09	1.000000e+00	8.648002e+01
141	5.640000e-03	1.000000e+00	0.000000e+00	1.073330e-15	3.147373e-09	1.000000e+00	8.713644e+01
142	5.680000e-03	1.000000e+00	0.000000e+00	1.053403e-15	2.314419e-09	1.000000e+00	8.776897e+01
143	5.720000e-03	1.000000e+00	0.000000e+00	1.097754e-15	1.855395e-09	1.000000e+00	8.839520e+01
144	5.760000e-03	1.000000e+00	0.000000e+00	1.001020e-15	3.369139e-09	1.000000e+00	8.902388e+01
145	5.800000e-03	1.000000e+00	0.000000e+00	1.058414e-15	1.572564e-09	1.000000e+00	8.965139e+01
146	5.840000e-03	1.000000e+00	0.000000e+00	1.084379e-15	2.074532e-09	1.000000e+00	9.028483e+01
147	5.880000e-03	1.000000e+00	0.000000e+00	1.057877e-15	2.235384e-09	1.000000e+00	9.092223e+01
148	5.920000e-03	1.000000e+00	0.000000e+00	1.040352e-15	2.599596e-09	1.000000e+00	9.154943e+01
149	5.960000e-03	1.000000e+00	0.000000e+00	1.060961e-15	2.455899e-10	1.000000e+00	9.217315e+01
150	6.000000e-03	1.000000e+00	0.000000e+00	1.051038e-15	1.969286e-09	1.000000e+00	9.279965e+01
151	6.040000e-03	1.000000e+00	0.000000e+00	1.041178e-15	2.311077e-09	1.000000e+00	9.342590e+01
152	6.080000e-03	1.000000e+00	0.000000e+00	1.008674e-15	2.130197e-10	1.000000e+00	9.405486e+01
153	6.120000e-03	1.000000e+00	0.000000e+00	1.075287e-15	1.799956e-09	1.000000e+00	9.468135e+01
