#step	time	u[m]	load[N]	reaction[N]	Wint[J]	Wext[J]	Wkin[J]
97	3.880000e-03	-1.440000e-05	-2.728713e+04	2.727478e+04	1.964171e-01	1.964389e-01	1.882085e-05
98	3.920000e-03	-1.460000e-05	-2.766797e+04	2.765590e+04	2.019110e-01	2.019344e-01	2.033819e-05
99	3.960000e-03	-1.480000e-05	-2.802825e+04	2.803934e+04	2.074807e-01	2.075040e-01	2.025757e-05
100	4.000000e-03	-1.500000e-05	-2.841172e+04	2.842695e+04	2.131262e-01	2.131480e-01	1.883378e-05
101	4.040000e-03	-1.520000e-05	-2.880829e+04	2.878418e+04	2.188475e-01	2.188700e-01	1.956852e-05
102	4.080000e-03	-1.540000e-05	-2.917262e+04	2.917104e+04	2.246445e-01	2.246681e-01	2.057932e-05
103	4.120000e-03	-1.560000e-05	-2.954357e+04	2.956904e+04	2.305173e-01	2.305397e-01	1.941723e-05
104	4.160000e-03	-1.580000e-05	-2.993855e+04	2.992461e+04	2.364659e-01	2.364879e-01	1.907885e-05
105	4.200000e-03	-1.600000e-05	-3.031586e+04	3.030338e+04	2.424902e-01	2.425133e-01	2.009926e-05
106	4.240000e-03	-1.620000e-05	-3.068653e+04	3.069946e+04	2.485904e-01	2.486136e-01	2.020339e-05
107	4.280000e-03	-1.640000e-05	-3.106219e+04	3.107205e+04	2.547663e-01	2.547885e-01	1.916127e-05
108	4.320000e-03	-1.660000e-05	-3.145564e+04	3.143969e+04	2.610180e-01	2.610402e-01	1.926616e-05
109	4.360000e-03	-1.680000e-05	-3.183256e+04	3.182564e+04	2.673455e-01	2.673691e-01	2.057084e-05
110	4.400000e-03	-1.700000e-05	-3.219138e+04	3.221484e+04	2.737488e-01	2.737715e-01	1.968116e-05
111	4.440000e-03	-1.720000e-05	-3.258931e+04	3.258230e+04	2.802278e-01	2.802495e-01	1.880514e-05
112	4.480000e-03	-1.740000e-05	-3.297364e+04	3.295549e+04	2.867826e-01	2.868058e-01	2.021396e-05
113	4.520000e-03	-1.760000e-05	-3.333246e+04	3.334724e+04	2.934132e-01	2.934364e-01	2.022083e-05
114	4.560000e-03	-1.780000e-05	-3.371884e+04	3.372840e+04	3.001196e-01	3.001416e-01	1.903944e-05
115	4.600000e-03	-1.800000e-05	-3.410749e+04	3.409185e+04	3.069017e-01	3.069242e-01	1.949370e-05
116	4.640000e-03	-1.820000e-05	-3.448007e+04	3.447479e+04	3.137596e-01	3.137829e-01	2.031497e-05
117	4.680000e-03	-1.840000e-05	-3.485133e+04	3.487009e+04	3.206933e-01	3.207161e-01	1.974418e-05
118	4.720000e-03	-1.860000e-05	-3.523613e+04	3.523349e+04	3.277028e-01	3.277248e-01	1.904027e-05
119	4.760000e-03	-1.880000e-05	-3.562479e+04	3.560682e+04	3.347881e-01	3.348109e-01	1.985766e-05
120	4.800000e-03	-1.900000e-05	-3.599116e+04	3.600204e+04	3.419491e-01	3.419725e-01	2.037974e-05
121	4.840000e-03	-1.920000e-05	-3.636466e+04	3.637698e+04	3.491859e-01	3.492081e-01	1.917438e-05
122	4.880000e-03	-1.940000e-05	-3.676172e+04	3.674672e+04	3.564985e-01	3.565207e-01	1.924151e-05
123	4.920000e-03	-1.960000e-05	-3.713479e+04	3.712818e+04	3.638869e-01	3.639104e-01	2.046704e-05
124	4.960000e-03	-1.980000e-05	-3.749925e+04	3.751729e+04	3.713511e-01	3.713738e-01	1.972187e-05
125	5.000000e-03	-2.000000e-05	-3.789219e+04	3.789091e+04	3.788910e-01	3.789129e-01	1.899166e-05
126	5.040000e-03	-2.020000e-05	-3.827514e+04	3.825787e+04	3.865067e-01	3.865297e-01	1.996557e-05
127	5.080000e-03	-2.040000e-05	-3.864209e+04	3.865108e+04	3.941982e-01	3.942214e-01	2.020081e-05
128	5.120000e-03	-2.060000e-05	-3.902142e+04	3.903359e+04	4.019654e-01	4.019878e-01	1.931038e-05
129	5.160000e-03	-2.080000e-05	-3.940895e+04	3.939637e+04	4.098085e-01	4.098308e-01	1.930542e-05
130	5.200000e-03	-2.100000e-05	-3.978844e+04	3.978076e+04	4.177273e-01	4.177505e-01	2.021172e-05
131	5.240000e-03	-2.120000e-05	-4.015503e+04	4.017070e+04	4.257219e-01	4.257449e-01	1.993636e-05
132	5.280000e-03	-2.140000e-05	-4.053897e+04	4.054079e+04	4.337923e-01	4.338143e-01	1.900739e-05
133	5.320000e-03	-2.160000e-05	-4.093042e+04	4.091297e+04	4.419385e-01	4.419612e-01	1.977536e-05
134	5.360000e-03	-2.180000e-05	-4.129514e+04	4.130192e+04	4.501604e-01	4.501838e-01	2.035915e-05
135	5.400000e-03	-2.200000e-05	-4.167073e+04	4.168421e+04	4.584581e-01	4.584804e-01	1.927234e-05
136	5.440000e-03	-2.220000e-05	-4.206415e+04	4.205200e+04	4.668316e-01	4.668538e-01	1.928232e-05
137	5.480000e-03	-2.240000e-05	-4.243855e+04	4.243107e+04	4.752809e-01	4.753041e-01	2.024408e-05
138	5.520000e-03	-2.260000e-05	-4.280796e+04	4.282175e+04	4.838059e-01	4.838288e-01	1.985439e-05
139	5.560000e-03	-2.280000e-05	-4.319280e+04	4.319562e+04	4.924067e-01	4.924288e-01	1.913565e-05
