// ================================================================================
// CHRONO WORKBENCH - github.com/Concrete-Chrono-Development/chrono-preprocessor
//
// Copyright (c) 2023 
// All rights reserved. 
//
// Use of the code that generated this file is governed by a BSD-style license that
// can be found in the LICENSE file at the top level of the distribution and at
// github.com/Concrete-Chrono-Development/chrono-preprocessor/blob/main/LICENSE
//
// ================================================================================
// Tetrahedra Data File
// ================================================================================
//
// Data Structure:
// Node 1 Node 2 Node 3 Node 4
// Note: Node numbers are zero-indexed
//
// ================================================================================
1190 2201 1468 1972
740 677 675 1955
1059 1006 1061 1106
52 207 13 2248
1447 1164 1076 1838
356 336 462 2086
1074 2222 1332 1302
772 773 841 1605
1277 1844 2121 1273
1385 1370 2138 2002
1216 1603 1776 1092
87 5 1409 1249
887 62 1639 1593
1049 983 1003 1924
922 882 942 2060
2224 1881 1465 1321
9 679 2204 1721
2158 1828 1712 1371
194 192 193 1521
1690 1084 1680 1374
174 175 86 1963
76 77 724 75
2123 1755 2235 1125
2202 1010 1949 1403
1046 985 2211 1789
876 946 1393 2121
1648 1562 1177 1870
536 547 529 1440
1707 1397 1731 1947
1899 1490 1178 2052
294 295 403 1474
1646 1807 1204 2225
1261 1603 1180 1897
929 958 1784 1880
1089 1420 1836 1407
1516 1884 2127 1571
983 637 1427 1924
661 597 1582 1731
309 2157 2193 1286
739 838 837 2195
1325 1986 1201 1450
798 398 1606 1820
81 82 117 2229
861 720 1686 1866
1608 192 1098 1220
2020 2215 1622 1243
1714 1213 2013 1356
1686 850 1504 1866
17 15 484 1730
1896 1627 1202 1123
2042 1079 2021 1999
478 1817 1717 1672
966 922 2084 2060
627 619 1561 1128
659 571 1709 1555
1098 827 1220 1721
1987 1142 1467 1708
360 361 363 1291
2056 1607 1808 1375
1455 1518 1660 1369
1837 1550 1182 2221
482 596 661 1888
1540 1984 1411 1829
541 539 1538 1252
601 70 520 1373
59 199 892 60
1333 1417 2257 1283
625 571 647 1709
964 880 875 1983
572 571 569 1555
627 572 569 1561
